restId,name_candidate,candidate_status,vote_count,selection_source
31232,太阳百货,商家名称候选,3,票数不少于3
31241,苏宁,平台/线上商家候选,3,票数不少于3
31259,沃尔玛,商家名称候选,2,大语言模型：具体店名
31263,旋转餐厅,商家名称候选,9,票数不少于3
31268,欧尚超市,商家名称候选,5,票数不少于3
31268,很大的超市,商家名称候选,3,票数不少于3
31273,名典,商家名称候选,2,大语言模型：具体店名
31275,百脑汇,商家名称候选,4,票数不少于3
31276,凯旋门,商家名称候选,3,票数不少于3
31285,农家院,商家名称候选,3,票数不少于3
31314,11便利店,商家名称候选,3,票数不少于3
31314,711,商家名称候选,2,大语言模型：具体店名
31319,物美超市,商家名称候选,2,大语言模型：具体店名
31322,家乐福,商家名称候选,3,票数不少于3
31329,宜家,商家名称候选,3,票数不少于3
31329,宜家餐厅,商家名称候选,3,票数不少于3
31337,锐意,商家名称候选,2,大语言模型：具体店名
31354,赛特,商家名称候选,3,票数不少于3
31422,太平洋,商家名称候选,4,票数不少于3
31535,老庙,商家名称候选,3,票数不少于3
31536,可的,商家名称候选,4,票数不少于3
31536,可的便利店,商家名称候选,2,大语言模型：具体店名
31538,欧尚,商家名称候选,3,票数不少于3
31544,家乐福超市,商家名称候选,2,大语言模型：具体店名
31554,新世界,商家名称候选,3,票数不少于3
31554,市百一店,商家名称候选,2,大语言模型：具体店名
31557,建配龙,商家名称候选,5,票数不少于3
31561,城大,商家名称候选,3,票数不少于3
31562,世纪联华,商家名称候选,5,票数不少于3
31565,四川路店,商家名称候选,2,大语言模型：具体店名
31567,三阳,商家名称候选,3,票数不少于3
31568,恒隆,商家名称候选,2,大语言模型：具体店名
31576,城市超市,商家名称候选,7,票数不少于3
31578,百佳超市,商家名称候选,10,票数不少于3
31578,大食代,商家名称候选,2,大语言模型：具体店名
31579,百安居,商家名称候选,5,票数不少于3
31629,香港,商家名称候选,4,票数不少于3
31630,海港城,商家名称候选,4,票数不少于3
31630,二楼,商家名称候选,3,票数不少于3
31665,欧尚,商家名称候选,2,大语言模型：具体店名
31713,购书中心,商家名称候选,4,票数不少于3
31713,直通车超市,商家名称候选,2,大语言模型：具体店名
31787,上海人茶餐厅,商家名称候选,2,大语言模型：具体店名
31873,屈臣氏,商家名称候选,5,票数不少于3
31873,中关村广场,商家名称候选,2,大语言模型：具体店名
31922,不似酒吧,商家名称候选,3,票数不少于3
32008,illy咖啡,商家名称候选,2,大语言模型：具体店名
32019,伊藤,商家名称候选,2,大语言模型：具体店名
32020,什锦烧烤肉,商家名称候选,3,票数不少于3
32020,易初莲花,商家名称候选,3,票数不少于3
32139,伍缘,商家名称候选,4,票数不少于3
32139,伍缘超市,商家名称候选,2,大语言模型：具体店名
32208,专卖店,商家名称候选,3,票数不少于3
32223,0101,商家名称候选,2,大语言模型：具体店名
32223,兴隆,商家名称候选,2,大语言模型：具体店名
32422,新玛特,商家名称候选,2,大语言模型：具体店名
32433,苏宁,平台/线上商家候选,2,大语言模型：平台/线上商家名
32692,家乐福,商家名称候选,3,票数不少于3
32728,家乐福,商家名称候选,5,票数不少于3
32925,南方商城,商家名称候选,2,大语言模型：具体店名
32957,此居,商家名称候选,2,大语言模型：具体店名
33104,欧尚超市,商家名称候选,2,大语言模型：具体店名
33437,家乐福,商家名称候选,3,票数不少于3
33662,韩国超市,商家名称候选,4,票数不少于3
33662,韩国,商家名称候选,3,票数不少于3
33664,大润发,商家名称候选,3,票数不少于3
33679,迪卡侬,商家名称候选,3,票数不少于3
33708,楼上,商家名称候选,3,票数不少于3
33708,百盛,商家名称候选,2,大语言模型：具体店名
33734,京东,平台/线上商家候选,7,票数不少于3
33831,山吧,商家名称候选,3,票数不少于3
34103,首航超市,商家名称候选,2,大语言模型：具体店名
34126,吉美臣,商家名称候选,2,大语言模型：具体店名
34469,同福,商家名称候选,2,大语言模型：具体店名
34498,米兰超市,商家名称候选,4,票数不少于3
34645,国内,商家名称候选,3,票数不少于3
34657,苏州,商家名称候选,9,票数不少于3
34705,另外烤肉,商家名称候选,2,大语言模型：具体店名
34775,淘宝,平台/线上商家候选,4,票数不少于3
34877,上海,商家名称候选,4,票数不少于3
35431,物美,商家名称候选,2,大语言模型：具体店名
35431,物美超市,商家名称候选,2,大语言模型：具体店名
35451,大方饭店,商家名称候选,2,大语言模型：具体店名
35547,原因是石库门中餐厅,商家名称候选,2,大语言模型：具体店名
35572,四眼井,商家名称候选,2,大语言模型：具体店名
36198,香港,商家名称候选,3,票数不少于3
36303,楚灶王,商家名称候选,3,票数不少于3
36318,港丽餐厅,商家名称候选,2,大语言模型：具体店名
36324,临江楼,商家名称候选,2,大语言模型：具体店名
36381,很好,商家名称候选,3,票数不少于3
36750,楼上,商家名称候选,4,票数不少于3
36809,淘宝,平台/线上商家候选,2,大语言模型：平台/线上商家名
37085,物美超市,商家名称候选,2,大语言模型：具体店名
37517,苏宁,平台/线上商家候选,4,票数不少于3
37595,看个电影,商家名称候选,3,票数不少于3
37738,报刊亭,商家名称候选,4,票数不少于3
37769,青年餐厅,商家名称候选,2,大语言模型：具体店名
37843,城市超市,商家名称候选,2,大语言模型：具体店名
38052,西苑饭店,商家名称候选,4,票数不少于3
38592,万达,商家名称候选,3,票数不少于3
38592,家乐福,商家名称候选,2,大语言模型：具体店名
39157,华堂超市,商家名称候选,2,大语言模型：具体店名
39364,易买得,商家名称候选,2,大语言模型：具体店名
39604,同仁堂,商家名称候选,2,大语言模型：具体店名
39707,华普超市,商家名称候选,3,票数不少于3
40765,欧尚超市,商家名称候选,2,大语言模型：具体店名
40850,老庙,商家名称候选,3,票数不少于3
42163,流行美,商家名称候选,2,大语言模型：具体店名
42609,大润发超市,商家名称候选,9,票数不少于3
42609,大润发,商家名称候选,2,大语言模型：具体店名
43542,我买网,商家名称候选,6,票数不少于3
43542,价格比超市,商家名称候选,3,票数不少于3
43739,coco奶茶,商家名称候选,2,大语言模型：具体店名
43852,棒约翰,商家名称候选,2,大语言模型：具体店名
44079,特力屋,商家名称候选,2,大语言模型：具体店名
44334,万达,商家名称候选,2,大语言模型：具体店名
44910,淘宝,平台/线上商家候选,4,票数不少于3
45397,奥莱,商家名称候选,2,大语言模型：具体店名
45621,全家,商家名称候选,2,大语言模型：具体店名
45645,乌鲁木齐驻京办,商家名称候选,2,大语言模型：具体店名
46388,万达,商家名称候选,3,票数不少于3
46388,都可茶饮,商家名称候选,2,大语言模型：具体店名
46752,前身是时代超市,商家名称候选,3,票数不少于3
46804,上海,商家名称候选,3,票数不少于3
46958,家乐福,商家名称候选,2,大语言模型：具体店名
47279,聚美优品,商家名称候选,2,大语言模型：平台/线上商家名
47294,悠闲美地,商家名称候选,2,大语言模型：具体店名
48264,皇家奶茶,商家名称候选,2,大语言模型：具体店名
49306,淘宝,平台/线上商家候选,42,票数不少于3
49306,淘宝上面,商家名称候选,2,大语言模型：平台/线上商家名
49306,淘宝商城,商家名称候选,2,大语言模型：平台/线上商家名
49326,表叔茶餐厅,商家名称候选,2,大语言模型：具体店名
51633,喝喝咖啡,商家名称候选,4,票数不少于3
52388,花园饭店,商家名称候选,12,票数不少于3
52531,家乐福,商家名称候选,3,票数不少于3
52531,古北家乐福,商家名称候选,2,大语言模型：具体店名
53321,宽润,商家名称候选,2,大语言模型：具体店名
54017,高端超市,商家名称候选,3,票数不少于3
54017,华润万家旗下的高端超市,商家名称候选,2,大语言模型：具体店名
54552,乐购,商家名称候选,3,票数不少于3
54552,龙之梦,商家名称候选,2,大语言模型：具体店名
54781,满记甜品,商家名称候选,2,大语言模型：具体店名
56479,百联虹口,商家名称候选,2,大语言模型：具体店名
57120,必胜客,商家名称候选,2,大语言模型：具体店名
58768,君度咖啡,商家名称候选,2,大语言模型：具体店名
58886,全家,商家名称候选,12,票数不少于3
58886,全家的便利店,商家名称候选,2,大语言模型：具体店名
59679,好又多,商家名称候选,2,大语言模型：具体店名
59680,麦德龙,商家名称候选,2,大语言模型：具体店名
59681,很齐全的一家超市,商家名称候选,3,票数不少于3
59682,太平洋电脑城,商家名称候选,2,大语言模型：具体店名
59689,龙粤,商家名称候选,3,票数不少于3
59692,香港,商家名称候选,5,票数不少于3
59723,百大,商家名称候选,5,票数不少于3
59770,山姆,商家名称候选,2,大语言模型：具体店名
59772,顺电,商家名称候选,3,票数不少于3
59793,百脑汇,商家名称候选,7,票数不少于3
59795,中兴,商家名称候选,7,票数不少于3
59809,金鹰,商家名称候选,3,票数不少于3
59817,图书大厦,商家名称候选,3,票数不少于3
59837,家乐福,商家名称候选,3,票数不少于3
59855,很大的超市,商家名称候选,3,票数不少于3
59855,欧尚超市,商家名称候选,2,大语言模型：具体店名
59857,会员超市,商家名称候选,3,票数不少于3
59857,都要,商家名称候选,3,票数不少于3
59859,屈臣氏,商家名称候选,7,票数不少于3
59867,苏宁,平台/线上商家候选,6,票数不少于3
59882,天意,商家名称候选,2,大语言模型：具体店名
59887,百盛,商家名称候选,5,票数不少于3
59889,翠微,商家名称候选,3,票数不少于3
59890,楼上,商家名称候选,4,票数不少于3
59891,华联超市,商家名称候选,2,大语言模型：具体店名
59893,君太,商家名称候选,2,大语言模型：具体店名
59894,双安,商家名称候选,2,大语言模型：具体店名
59926,晋阳饭庄,商家名称候选,12,票数不少于3
59926,晋阳,商家名称候选,2,大语言模型：具体店名
59976,龙之梦,商家名称候选,2,大语言模型：具体店名
60053,福士里,商家名称候选,2,大语言模型：具体店名
60055,屈臣氏,商家名称候选,4,票数不少于3
60056,屈臣氏,商家名称候选,3,票数不少于3
60058,上海,商家名称候选,3,票数不少于3
60058,国内,商家名称候选,3,票数不少于3
60060,家乐福,商家名称候选,3,票数不少于3
60067,周大福,商家名称候选,2,大语言模型：具体店名
60071,永乐,商家名称候选,2,大语言模型：具体店名
60073,永乐,商家名称候选,5,票数不少于3
60076,金盛,商家名称候选,4,票数不少于3
60079,书店,商家名称候选,3,票数不少于3
60080,百思,商家名称候选,2,大语言模型：具体店名
60081,太平洋,商家名称候选,2,大语言模型：具体店名
60089,国美,商家名称候选,6,票数不少于3
60093,百脑汇,商家名称候选,3,票数不少于3
60095,巴黎三城,商家名称候选,3,票数不少于3
60101,香港,商家名称候选,3,票数不少于3
60122,上海,商家名称候选,4,票数不少于3
60132,屈臣氏,商家名称候选,3,票数不少于3
60186,大润发,商家名称候选,2,大语言模型：具体店名
60207,优衣库,商家名称候选,2,大语言模型：具体店名
60212,商业城,商家名称候选,7,票数不少于3
60220,沃尔玛,商家名称候选,3,票数不少于3
60305,美罗城,商家名称候选,2,大语言模型：具体店名
60401,城乡仓储大超市,商家名称候选,3,票数不少于3
60578,卓展,商家名称候选,2,大语言模型：具体店名
60606,国美,商家名称候选,2,大语言模型：具体店名
60705,上海最后居,商家名称候选,2,大语言模型：具体店名
60747,武广,商家名称候选,5,票数不少于3
60957,动物园,商家名称候选,2,大语言模型：具体店名
60958,欧尚,商家名称候选,3,票数不少于3
61063,银树酒家,商家名称候选,2,大语言模型：具体店名
61385,钻石小鸟,商家名称候选,2,大语言模型：具体店名
61459,优衣库,商家名称候选,2,大语言模型：具体店名
61609,中关村,商家名称候选,3,票数不少于3
61609,新中关,商家名称候选,3,票数不少于3
61818,家乐福,商家名称候选,2,大语言模型：具体店名
61846,三福,商家名称候选,2,大语言模型：具体店名
61978,所以饭店,商家名称候选,3,票数不少于3
62089,家乐福,商家名称候选,3,票数不少于3
62105,水上餐厅,商家名称候选,2,大语言模型：具体店名
62670,香港,商家名称候选,3,票数不少于3
62912,锦江饭店,商家名称候选,6,票数不少于3
62913,和平饭店,商家名称候选,17,票数不少于3
62975,汉拿山,商家名称候选,2,大语言模型：具体店名
62992,五爱,商家名称候选,3,票数不少于3
63109,百脑汇,商家名称候选,3,票数不少于3
63289,越南咖啡,商家名称候选,7,票数不少于3
63289,一杯咖啡,商家名称候选,2,大语言模型：具体店名
63320,儿童医院,商家名称候选,2,大语言模型：具体店名
63346,地点在乐购超市,商家名称候选,4,票数不少于3
63349,三江,商家名称候选,2,大语言模型：具体店名
63391,药店,商家名称候选,3,票数不少于3
63854,城市超市,商家名称候选,6,票数不少于3
63855,屈臣氏,商家名称候选,8,票数不少于3
64315,苏宁,平台/线上商家候选,13,票数不少于3
64896,建国饭店,商家名称候选,2,大语言模型：具体店名
65073,满记甜品,商家名称候选,2,大语言模型：具体店名
65186,华府,商家名称候选,4,票数不少于3
65186,金钱豹,商家名称候选,2,大语言模型：具体店名
65316,久光,商家名称候选,2,大语言模型：具体店名
65317,屈臣氏,商家名称候选,3,票数不少于3
65317,华联,商家名称候选,2,大语言模型：具体店名
65505,共康,商家名称候选,2,大语言模型：具体店名
65615,家乐福,商家名称候选,3,票数不少于3
65763,宜家,商家名称候选,5,票数不少于3
65902,钱柜茶餐厅,商家名称候选,3,票数不少于3
65912,满记甜品,商家名称候选,5,票数不少于3
65912,福士,商家名称候选,3,票数不少于3
65912,太兴餐厅,商家名称候选,2,大语言模型：具体店名
66007,世纪联华超市,商家名称候选,2,大语言模型：具体店名
66638,恒孚,商家名称候选,3,票数不少于3
66932,新华书店,商家名称候选,2,大语言模型：具体店名
67109,百盛,商家名称候选,2,大语言模型：具体店名
67298,国美,商家名称候选,3,票数不少于3
67437,日上,商家名称候选,3,票数不少于3
67558,新世界超市,商家名称候选,8,票数不少于3
67558,新世界的超市,商家名称候选,3,票数不少于3
67903,家乐福,商家名称候选,2,大语言模型：具体店名
68030,春之花,商家名称候选,2,大语言模型：具体店名
68097,自助餐厅,商家名称候选,3,票数不少于3
68185,当当,平台/线上商家候选,28,票数不少于3
68185,书店,商家名称候选,4,票数不少于3
68185,当当上面,商家名称候选,4,票数不少于3
68185,当当网,商家名称候选,4,票数不少于3
68185,卓越网,平台/线上商家候选,3,票数不少于3
68185,当当网上,商家名称候选,3,票数不少于3
68185,京东,平台/线上商家候选,2,大语言模型：平台/线上商家名
68185,图书大厦,商家名称候选,2,大语言模型：具体店名
68491,喝喝咖啡,商家名称候选,2,大语言模型：具体店名
68491,百思,商家名称候选,2,大语言模型：具体店名
68695,大悦城,商家名称候选,2,大语言模型：具体店名
68906,大红门,商家名称候选,2,大语言模型：具体店名
69575,屈臣氏,商家名称候选,3,票数不少于3
69575,香港,商家名称候选,3,票数不少于3
70223,沃尔玛,商家名称候选,3,票数不少于3
70263,物美超市,商家名称候选,2,大语言模型：具体店名
70292,屈臣氏,商家名称候选,4,票数不少于3
70368,东明,商家名称候选,2,大语言模型：具体店名
70467,哈哈家,商家名称候选,3,票数不少于3
70913,五道口,商家名称候选,3,票数不少于3
71018,宝大祥,商家名称候选,2,大语言模型：具体店名
71384,滋味烘焙,商家名称候选,2,大语言模型：具体店名
72039,友人,商家名称候选,2,大语言模型：具体店名
72838,电玩巴士,商家名称候选,3,票数不少于3
73157,非常手机,商家名称候选,4,票数不少于3
73514,国美,商家名称候选,2,大语言模型：具体店名
73753,休息室,商家名称候选,4,票数不少于3
73813,淘宝,平台/线上商家候选,25,票数不少于3
74047,合亚,商家名称候选,3,票数不少于3
74134,城市生活超市,商家名称候选,2,大语言模型：具体店名
74713,1819火锅,商家名称候选,2,大语言模型：具体店名
74869,5楼,商家名称候选,3,票数不少于3
74870,龙之梦,商家名称候选,3,票数不少于3
74953,龙之梦,商家名称候选,2,大语言模型：具体店名
75797,85度C,商家名称候选,2,大语言模型：具体店名
76319,物美,商家名称候选,2,大语言模型：具体店名
77081,万宁超市,商家名称候选,2,大语言模型：具体店名
77260,欧尚超市,商家名称候选,2,大语言模型：具体店名
77476,石头火锅,商家名称候选,2,大语言模型：具体店名
77476,石锅火锅,商家名称候选,2,大语言模型：具体店名
77690,永辉超市,商家名称候选,3,票数不少于3
78367,联华超市,商家名称候选,4,票数不少于3
78387,红星美凯龙,商家名称候选,2,大语言模型：具体店名
78739,恒隆,商家名称候选,2,大语言模型：具体店名
79056,城市超市,商家名称候选,2,大语言模型：具体店名
80658,香港广场,商家名称候选,2,大语言模型：具体店名
81028,上岛咖啡,商家名称候选,5,票数不少于3
81103,欧尚超市,商家名称候选,2,大语言模型：具体店名
81490,阿萨姆奶茶,商家名称候选,2,大语言模型：具体店名
81770,易买得超市,商家名称候选,2,大语言模型：具体店名
81798,青年餐厅,商家名称候选,4,票数不少于3
81798,还有家城市超市,商家名称候选,3,票数不少于3
81798,城市超市,商家名称候选,2,大语言模型：具体店名
81860,上海,商家名称候选,4,票数不少于3
81860,专柜,商家名称候选,3,票数不少于3
82084,欧尚超市,商家名称候选,2,大语言模型：具体店名
82334,大悦城,商家名称候选,3,票数不少于3
82477,京东,平台/线上商家候选,2,大语言模型：平台/线上商家名
82481,新安,商家名称候选,2,大语言模型：具体店名
83126,第一羊火锅,商家名称候选,4,票数不少于3
83661,印度奶茶,商家名称候选,5,票数不少于3
83672,万得城,商家名称候选,2,大语言模型：具体店名
83697,宜家,商家名称候选,2,大语言模型：具体店名
84559,汉通,商家名称候选,4,票数不少于3
84679,港汇,商家名称候选,2,大语言模型：具体店名
85070,贵州大厦,商家名称候选,2,大语言模型：具体店名
85328,金源时代,商家名称候选,2,大语言模型：具体店名
85898,姜汁奶茶,商家名称候选,3,票数不少于3
86615,珍珠奶茶,商家名称候选,3,票数不少于3
90710,私家碳烤肉,商家名称候选,3,票数不少于3
91421,吉之岛,商家名称候选,2,大语言模型：具体店名
91600,乐购,商家名称候选,4,票数不少于3
91604,好又多,商家名称候选,3,票数不少于3
91611,大型超市,商家名称候选,3,票数不少于3
91611,百安居,商家名称候选,2,大语言模型：具体店名
91654,物美超市,商家名称候选,3,票数不少于3
91693,海雅,商家名称候选,2,大语言模型：具体店名
91722,千盛,商家名称候选,2,大语言模型：具体店名
91723,苏宁,平台/线上商家候选,8,票数不少于3
91735,人民商场,商家名称候选,4,票数不少于3
91736,石路国际,商家名称候选,3,票数不少于3
91745,家乐福,商家名称候选,3,票数不少于3
91747,沃尔玛超市,商家名称候选,3,票数不少于3
91762,其他超市,商家名称候选,3,票数不少于3
91763,家乐福,商家名称候选,3,票数不少于3
91765,湖边烧烤,商家名称候选,2,大语言模型：具体店名
91775,华普超市,商家名称候选,2,大语言模型：具体店名
